"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"11-Apr-2025","29-May-2025","CE","25,000.00","68.80","68.80","44.25","54.00","56.15","54.00","19,04,325","47,70,60,39,798.75","9,79,14,798.75","7,86,525","1,54,275"
"09-Apr-2025","29-May-2025","CE","25,000.00","44.80","52.50","34.00","38.65","35.00","38.65","7,38,750","18,49,68,66,948.75","2,81,16,948.75","6,32,250","21,225"
"08-Apr-2025","29-May-2025","CE","25,000.00","49.00","49.70","35.95","44.75","42.85","44.75","9,54,000","23,88,98,01,776.25","3,98,01,776.25","6,11,025","53,250"
"07-Apr-2025","29-May-2025","CE","25,000.00","12.00","43.20","5.60","38.55","39.00","38.55","17,09,625","42,79,77,44,752.50","5,71,19,752.50","5,57,775","-1,23,450"
"04-Apr-2025","29-May-2025","CE","25,000.00","35.00","40.00","22.50","24.20","24.25","24.20","14,45,550","36,17,85,83,336.25","3,98,33,336.25","6,81,225","14,925"
"03-Apr-2025","29-May-2025","CE","25,000.00","41.85","50.00","40.00","42.95","41.75","42.95","5,06,250","12,67,87,66,582.50","2,25,16,582.50","6,66,300","59,625"
"02-Apr-2025","29-May-2025","CE","25,000.00","54.80","57.50","47.10","55.05","56.20","55.05","7,86,300","19,69,80,78,176.25","4,05,78,176.25","6,06,675","39,150"
"01-Apr-2025","29-May-2025","CE","25,000.00","76.00","79.95","48.00","49.80","49.40","49.80","8,82,300","22,10,90,81,617.50","5,15,81,617.50","5,67,525","13,875"
"28-Mar-2025","29-May-2025","CE","25,000.00","96.25","101.00","70.90","78.80","76.00","78.80","9,00,150","22,57,70,86,406.25","7,33,36,406.25","5,53,650","36,600"
"27-Mar-2025","29-May-2025","CE","25,000.00","87.00","101.70","74.60","91.65","94.00","91.65","4,18,875","10,50,97,44,187.50","3,78,69,187.50","5,17,050","44,925"
"26-Mar-2025","29-May-2025","CE","25,000.00","115.05","121.85","80.05","82.40","80.55","82.40","5,64,000","14,15,45,83,623.75","5,45,83,623.75","4,72,125","1,04,250"
"25-Mar-2025","29-May-2025","CE","25,000.00","134.20","166.00","105.85","113.45","105.85","113.45","7,62,750","19,16,92,87,080.00","10,05,37,080.00","3,67,875","2,27,325"
"24-Mar-2025","29-May-2025","CE","25,000.00","138.80","138.80","71.45","122.75","126.65","122.75","4,20,750","10,56,41,30,895.00","4,53,80,895.00","1,40,550","1,40,550"
